"Fiscal Year","Full Time Equivalent (FTE) Students","FTE Staff","FTE Faculty","Residential Students (Headcount)","Residential Staff/Faculty (Headcount)","Other On-Site Residents and/or In-Patient Hospital Beds (Headcount)","Students Enrolled in Distance Education (Headcount)","Meal Plans","Meals Served","Full Time Staff (Headcount)","Part Time Staff (Headcount)","Full Time Faculty (Headcount)","Part Time Faculty (Headcount)","Confidence","Optional Notes"
1990,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,
2016,18056,1403,0,3141,0,0,0,,,0,0,0,0,Medium,
2017,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,
2031,,,,,,,,,,,,,,,
2032,,,,,,,,,,,,,,,
2033,,,,,,,,,,,,,,,
2034,,,,,,,,,,,,,,,
2035,,,,,,,,,,,,,,,
2036,,,,,,,,,,,,,,,
2037,,,,,,,,,,,,,,,
2038,,,,,,,,,,,,,,,
2039,,,,,,,,,,,,,,,
2040,,,,,,,,,,,,,,,
2041,,,,,,,,,,,,,,,
2042,,,,,,,,,,,,,,,
2043,,,,,,,,,,,,,,,
2044,,,,,,,,,,,,,,,
2045,,,,,,,,,,,,,,,
2046,,,,,,,,,,,,,,,
2047,,,,,,,,,,,,,,,
2048,,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,
2051,,,,,,,,,,,,,,,
2052,,,,,,,,,,,,,,,
2053,,,,,,,,,,,,,,,
2054,,,,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,
2056,,,,,,,,,,,,,,,
2057,,,,,,,,,,,,,,,
2058,,,,,,,,,,,,,,,
2059,,,,,,,,,,,,,,,
2060,,,,,,,,,,,,,,,
