"","Scope 1","","","","","","Scope 2","","Scope 3","","","","","","","","","",""
"Fiscal Year","Co-gen Electricity","Co-gen Steam","Other On-Campus Stationary","Direct Transportation","Refrigerants & Chemicals","Fertilizer & Animals","Purchased Electricity","Purchased Steam / Chilled Water","Faculty Commuting","Staff Commuting","Student Commuting","Directly Financed Air Travel","Other Directly Financed Travel","Study Abroad Air Travel","Student Travel to/from Home","Solid Waste","Wastewater","Paper Purchasing","T&D Losses"
"","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu"
1990,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,
2016,,,,6149.8833386989,,0,1075734.903928,,,42321.735995952,20336.55227802,1659.144496275,,,,,,,58767.209474238
2017,,,,8115.196230022,,0,1074864.3212488,,,78966.745165355,54930.598938338,1534.0599213,,,,,,,58719.64969488
2018,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,
2031,,,,,,,,,,,,,,,,,,,
2032,,,,,,,,,,,,,,,,,,,
2033,,,,,,,,,,,,,,,,,,,
2034,,,,,,,,,,,,,,,,,,,
2035,,,,,,,,,,,,,,,,,,,
2036,,,,,,,,,,,,,,,,,,,
2037,,,,,,,,,,,,,,,,,,,
2038,,,,,,,,,,,,,,,,,,,
2039,,,,,,,,,,,,,,,,,,,
2040,,,,,,,,,,,,,,,,,,,
2041,,,,,,,,,,,,,,,,,,,
2042,,,,,,,,,,,,,,,,,,,
2043,,,,,,,,,,,,,,,,,,,
2044,,,,,,,,,,,,,,,,,,,
2045,,,,,,,,,,,,,,,,,,,
2046,,,,,,,,,,,,,,,,,,,
2047,,,,,,,,,,,,,,,,,,,
2048,,,,,,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,,,,,
2051,,,,,,,,,,,,,,,,,,,
2052,,,,,,,,,,,,,,,,,,,
2053,,,,,,,,,,,,,,,,,,,
2054,,,,,,,,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,,,,,
2056,,,,,,,,,,,,,,,,,,,
2057,,,,,,,,,,,,,,,,,,,
2058,,,,,,,,,,,,,,,,,,,
2059,,,,,,,,,,,,,,,,,,,
2060,,,,,,,,,,,,,,,,,,,
