"Fiscal Year","Category","Organic","Local","Weight (kg)","Supply (kg N)","Virtual (kg N)","Consumption (kg N)","Transport (kg N)","Waste (kg N)","Production (kg N)","eCO2 (kg)"
2016,Beans,No,No,23739.224,342.339,140.359,325.222,3.153,17.117,160.629,18516.595
2016,Beef,No,No,26585.605,775.13,8758.968,658.86,2.236,116.269,8877.474,703189.248
2016,Cheese,No,No,20561.716,618.825,1918.359,526.002,0.455,92.824,2011.638,201093.58
2016,Chicken,No,No,59524.448,1655.827,6954.475,1407.453,5.007,248.374,7207.856,300598.464
2016,Coffee and tea,No,No,699.828,11.477,39.022,7.231,0.05,4.247,43.319,251.938
2016,Eggs,No,No,32635.978,605.376,1997.74,514.569,0.722,90.806,2089.268,115531.362
2016,Fish,No,No,24339.343,698.792,1746.981,426.263,2.047,272.529,2021.557,93219.683
2016,Fruits,No,No,67127.829,52.628,178.936,33.156,8.916,19.472,207.324,24166.019
2016,Grains,No,No,72929.657,1080.993,1005.323,778.315,8.718,302.678,1316.719,62719.505
2016,Liquids,No,No,317756.156,457.569,1555.734,288.268,22.509,169.3,1747.544,327288.841
2016,Milk,No,No,231427.889,1464.27,4539.237,1244.629,5.123,219.64,4764,310113.371
2016,Nuts,No,No,1943.098,57.684,23.65,54.799,0.258,2.884,26.793,2273.425
2016,Oils,No,No,18351.726,10.835,4.442,10.293,1.3,0.542,6.284,29913.313
2016,Pork,No,No,19588.107,553.392,2600.942,470.383,1.648,83.009,2685.599,134570.292
2016,Potatoes,No,No,30100.436,108.121,151.369,70.278,3.998,37.842,193.209,6321.092
2016,Spices,No,No,4578.984,40.361,113.011,25.427,0.324,14.934,128.269,3342.658
2016,Sugars,No,No,13649.312,6.988,23.761,4.403,0.967,2.586,27.313,12693.86
2016,Vegetables,No,No,88914.245,252.232,706.249,158.906,11.81,93.326,811.385,64907.399
2017,Beans,No,No,71398.316,1029.621,422.145,978.14,9.483,51.481,483.109,55690.687
2017,Beef,No,No,54725.011,1595.562,18029.855,1356.228,4.603,239.334,18273.793,1447476.541
2017,Cheese,No,No,30942.527,931.246,2886.864,791.559,0.685,139.687,3027.235,302617.919
2017,Chicken,No,No,58328.726,1622.565,6814.774,1379.18,4.907,243.385,7063.065,294560.068
2017,Coffee and tea,No,No,37836.712,620.522,2109.775,390.929,2.68,229.593,2342.048,13621.216
2017,Eggs,No,No,79710.875,1478.584,4879.326,1256.796,1.765,221.788,5102.878,282176.497
2017,Fish,No,No,14232.352,408.617,1021.541,249.256,1.197,159.36,1182.099,54509.907
2017,Fruits,No,No,88432.088,69.331,235.725,43.678,11.745,25.652,273.122,31835.552
2017,Grains,No,No,298115.723,4418.79,4109.475,3181.529,35.636,1237.261,5382.372,256379.522
2017,Liquids,No,No,214382.935,308.711,1049.619,194.488,15.186,114.223,1179.028,220814.423
2017,Milk,No,No,217876,1378.526,4273.429,1171.747,4.823,206.779,4485.031,291953.84
2017,Nuts,No,No,17777.407,527.747,216.376,501.36,2.361,26.387,245.125,20799.566
2017,Oils,No,No,81726.835,48.252,19.783,45.839,5.789,2.413,27.985,133214.741
2017,Pork,No,No,35360.462,998.984,4695.223,849.136,2.974,149.848,4848.045,242926.371
2017,Potatoes,No,No,90299.297,324.355,454.097,210.831,11.993,113.524,579.615,18962.852
2017,Spices,No,No,79827.61,703.632,1970.171,443.288,5.655,260.344,2236.17,58274.155
2017,Sugars,No,No,102087.408,52.269,177.714,32.929,7.232,19.339,204.285,94941.289
2017,Vegetables,No,No,205649.021,583.385,1633.478,367.533,27.314,215.853,1876.645,150123.786
